Item Type;Text
heading 2;IDE Integration 
paragraph; 
table_of_contents;
heading 3;Command File Dependency Output 
paragraph;The text compiler provides information on the dependencies to the files associated with a command file. This information can be used to integrate the text compiler into different development environments. The command line section shows the required options to do this. 
heading 3;Microsoft Visual Studio 
paragraph;To integrate the text compiler into Microsoft Visual Studio as custom build step the following steps are required: 
list_start;
list_item;Add the command file to your project 
list_item;Add the template files to your project 
list_item;Add the output files to your project 
list_item;Open the properties of the command file 
list_item;In a Windows-Explorer right click on the command file and select ‘Dependencies’ 
list_item;Enter the displayed settings in the Visual Studio property dialog of the command file 
list_end;
paragraph;The example solution shows command files integrated as custom build steps. 
heading 3;MPC - The Makefile, Project and Workspace Creator 
paragraph; 
paragraph;The installed mpc folder contains the base file tccmd.mpb with the required settings for text compiler command files. Together with the dependency output using MPC style it can be used to create project files containing command files. 
paragraph;The MPC integration example shows how to integrate the text compiler into MPC files for creating projects containing text compiler command files. It consists of a batch script that creates the MPC files for the examples. Furthermore it runs the MPC workspace creator to create the example solution and projects. 
paragraph; 
paragraph; 
