Item Type;Text
heading 2;Getting Started 
paragraph; 
table_of_contents;
heading 3;How the Text Compiler Works 
paragraph; 
paragraph;The text compiler can be used to generate any form of text output. To accomplish this it first loads a data model represented as one or more tables, which could be for instance a list of parameters of an application. 
paragraph; In a second step a template file is processed. On the one hand it contains from the viewpoint of the text compiler simply text, maybe the statements of the target language to produce. This text is passed unchanged to the produced output file. On the other hand the template file contains special tags that form macro expressions. These macro expressions instruct the compiler on how to insert the text fragments from the data tables into the output text stream. 
paragraph;To accomplish various generation tasks it is possible to generate macro expressions while processing a template file. It works as if the text compiler would process a template file, generate another template file as output, and process this output file again and again until no macro expressions are contained in the output anymore. The only difference to the described processing is that this is done recursively. 
paragraph;A command file is used to collect all the commands needed for generating, e.g. the instruction to load or unload a table. 
image;overview.png
heading 3; 
heading 3;A Simple Example 
paragraph;This section gives an example of the file types processed by the text compiler.  Furthermore it shows how the macro expressions look like and how the table data is inserted into the text stream that is written to the output file. 
paragraph;The table data loaded by the text compiler is stored in the CSV-file format. 
include;temp\examples\getting_started_simple\simple.csv
paragraph; 
paragraph;CSV-files can be easily created using a spreadsheet application. This example uses a list of parameters to generate a C++ data class. 
include;temp\examples\getting_started_simple\simple.table.gen.html
paragraph;The template file below contains two macros. The first one is located in the declaration section. It consists of the line containing three ENTRY tags and one ANY tag. A tag is surrounded by additional markup characters to avoid name clashes with the target language. The default markup uses box brackets to improve the readability of the template files. The Parameter following the entry tags denotes the heading of the column to read. 
paragraph;In this case the text compiler finds a line containing tags. It takes the full line including the new line character and processes it as a macro. Then it looks for loaded tables containing the given column headings. A table containing the headings is read row by row, the ENTRY tags are substituted with content the corresponding table entries and the produced line is written to the output file. It is also possible to read a table from left to right passing the row headings as parameter. 
paragraph;The substitution fails if a table entry is empty. That’s why the incomplete table entry produces no output. This default behavior can be changed by inserting additional tags after the ENTRY tag. This is  done for the parameter description using the ANY tag which causes the entry to be substituted successfully no matter what the content of the table looks like. 
paragraph;The second macro uses the macro marking tags MACRO_BEGIN and MACRO_END to define the position of the macro. They are used to create macros that span multiple lines or for macros that are inserted into a single line as in this example. 
paragraph;Additionally the block marking tags BEGIN and END are used. Block marking tags can be nested. They form an inner block using the OR tag to define multiple alternatives. The text compiler inserts the first alternative that is expandable. In this example alternatives are used together with the FIRST_TIME tag that can only be substituted successfully with an empty string the first time the macro expands. This way it is possible to create the syntax for the C++ class initializer list.  
paragraph; 
include;temp\examples\getting_started_simple\CDataClass.tpl.h.rtf
paragraph; 
paragraph;The output file contains the compilation of the text fragments from the table and the template file. 
include;temp\examples\getting_started_simple\CDataClass.gen.h.rtf
paragraph; 
paragraph;The command file is processed line by line. Every line contains a command for the text compiler using command line style syntax. 
include;temp\examples\getting_started_simple\simple.tccmd.rtf
paragraph; 
heading 3;The Simple Example Extended 
